"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"5",-118.15,-59.142,-51.383,-55.892,1.6288,12.295,-14.925,-29.098,21.089,34.256,42.998,22.962,-15.997,27.085,0.37961,29.795,-12.656,19.908,-3.1871,8.1953,-1.3482,-16.952,40.293,7.6037,-17.531,-28.775,6.0669,3.7036,-14.316,33.206
"6",-168.94,-46.199,9.3245,-26.183,25.575,-19.941,26.215,82.573,-26.675,71.086,-7.5237,21.497,18.161,13.637,13.699,0.15222,-4.0375,21.714,14.025,24.886,-3.9729,-17.193,7.8958,16.792,15.549,-2.4728,-15.348,-16.536,-18.418,31.682
"13",-115.12,-56.573,-124.65,41.398,-30.599,-8.4281,-7.8076,49.907,-35.993,-1.988,1.6955,3.2065,10.568,-20.463,-29.934,-34.169,-11.436,-15.098,28.417,-25.576,20.235,-10.709,-20.252,30.602,-29.916,-45.245,-4.3439,8.8826,43.145,30.729
"14",-124.02,-61.846,-53.366,-17.811,11.072,9.1214,-32.858,-2.3089,20.306,35.911,32.442,28.22,9.9515,22.55,2.3536,18.109,-10.44,6.7583,11.808,20.937,-0.28099,-18.436,35.095,12.51,-9.5879,-11.5,1.9026,-2.8273,-7.4298,28.865
"15",-137.33,-66.923,-23.942,-26.288,20.874,-19.666,4.4158,31.18,-11.309,56.004,19.872,19.04,-16.963,16.522,10.656,27.887,-8.2012,19.501,-6.7882,6.0983,13.089,-32.935,-0.62108,8.7911,-1.4776,-13.705,-13.994,11.418,-12.676,28.619
"18",-110.43,-77.431,-89.332,-26.354,8.6754,10.117,-20.525,-15.094,9.9825,19.531,21.74,7.2446,3.6506,35.972,22.478,-7.3498,-17.726,8.255,31.626,30.493,-9.9253,-17.631,30.903,22.189,4.2462,6.6045,1.4806,-18.533,3.5001,-2.0041
"21",-83.685,-81.011,-104.29,-36.963,28.289,-2.3601,-13.597,-29.809,6.5554,16.041,14.389,-0.14738,28.175,24.943,-1.8283,-0.99351,4.8937,-2.3453,43.022,4.5937,8.0386,-20.348,19.886,33.332,5.5696,-14.058,11.987,-14.006,0.86255,15.454
"33",-179.57,-55.739,-47.33,-4.7669,2.2605,14.986,-55.809,33.755,24.805,14.426,8.5659,29.673,4.6528,23.343,-1.2286,14.675,9.6333,2.7131,20.344,58.746,6.1057,-24.445,12.995,8.131,12.196,-13.261,9.4573,-5.6976,-7.3711,24.775
"37",-112.43,-87.768,-80.22,-38.319,14.363,8.7602,-37.106,-17.408,17.495,26.333,51.37,15.465,31.171,39.928,-2.5653,20.575,-11.776,32.044,31,15.304,10.162,-5.6727,19.144,10.014,15.164,-23.963,24.689,-5.4529,-13.033,16.905
"53",-141.27,-74.855,-81.42,-18.751,23.92,17.506,-42.732,0.064859,11.336,25.056,24.47,22.243,43.126,18.878,15.143,-0.52209,1.2556,23.309,24.761,33.643,11.58,-30.954,5.3946,14.471,14.956,-9.7189,23.349,-11.536,-7.9588,23.793
