"","id","material","side","family","tribe","genus","species","type","image","image2","color","bw","complete","corrupt","user","origin","location","accession","date","active","user_modify","user_date"
"1",2,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2518","",1,1,1,1,"BLC","NMB","NMB","12401","2019-10-03 12:28:46",1,"JKB","2020-10-06 17:38:35"
"2",4,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2519","",1,1,1,0,"BLC","NMB","NMB","12401","2019-10-03 12:12:39",1,"JKB","2020-10-06 17:39:00"
"3",6,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2520","",1,1,1,0,"BLC","NMB","NMB","12401","2019-10-03 11:53:55",1,"JKB","2020-10-06 17:39:42"
"4",8,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2526","",1,1,1,1,"BLC","NMB","NMB","12407","2019-10-03 12:30:23",1,"JD","2020-10-19 18:11:32"
"5",10,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2528","",1,1,1,0,"BLC","NMB","NMB","12407","2019-10-03 12:13:08",1,"JD","2020-10-19 18:12:01"
"6",12,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2529","",1,1,1,0,"BLC","NMB","NMB","12407","2019-10-03 11:54:23",1,"JD","2020-10-19 18:12:30"
"7",14,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2533","",1,1,1,1,"BLC","NMB","NMB","12217","2019-10-03 12:30:49",1,"JD","2020-10-19 18:12:47"
"8",16,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2534","",1,1,1,0,"BLC","NMB","NMB","12217","2019-10-03 12:13:36",1,"JD","2020-10-19 18:13:02"
"9",18,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2538","",1,1,-2,0,"BLC","NMB","NMB","12217","2019-10-03 11:54:54",1,"JD","2020-10-19 18:13:17"
"10",20,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2540","",1,1,1,0,"BLC","NMB","NMB","12414","2019-10-03 12:31:17",1,"JD","2020-10-19 18:13:42"
"11",22,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2541","",1,1,1,0,"BLC","NMB","NMB","12414","2019-10-03 12:14:04",1,"JD","2020-10-19 18:13:44"
"12",24,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2542","",1,1,-2,0,"BLC","NMB","NMB","12414","2019-10-03 11:55:20",1,"JD","2020-10-19 18:13:46"
"13",26,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2547","",1,1,1,1,"BLC","NMB","NMB","12553","2019-10-03 12:31:47",1,"JD","2020-10-19 18:14:09"
"14",28,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2548","",1,1,1,0,"BLC","NMB","NMB","12553","2019-10-03 12:14:31",1,"JD","2020-10-19 18:14:11"
"15",30,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2549","",1,1,-2,0,"BLC","NMB","NMB","12553","2019-10-03 11:55:46",1,"JD","2020-10-19 18:14:52"
"16",32,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2551","",1,1,1,0,"BLC","NMB","NMB","12562","2019-10-03 12:32:16",1,"JD","2020-10-19 18:34:26"
"17",34,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2552","",1,1,1,0,"BLC","NMB","NMB","12562","2019-10-03 12:15:02",1,"JD","2020-10-19 18:34:30"
"18",36,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2553","",1,1,1,0,"BLC","NMB","NMB","12562","2019-10-03 11:56:13",1,"JD","2020-10-19 18:34:37"
"19",38,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2559","",1,1,1,0,"BLC","NMB","NMB","12057","2019-10-03 12:32:42",1,"JD","2020-10-19 18:34:55"
"20",40,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2560","",1,1,1,0,"BLC","NMB","NMB","12057","2019-10-03 12:15:32",1,"JD","2020-10-19 18:34:58"
"21",42,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2561","",1,1,1,0,"BLC","NMB","NMB","12057","2019-10-03 11:56:44",1,"JD","2020-10-19 18:35:00"
"22",44,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2562","",1,1,1,1,"BLC","NMB","NMB","9358","2019-10-03 12:33:17",1,"JD","2020-10-19 18:35:18"
"23",46,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2563","",1,1,-2,0,"BLC","NMB","NMB","9358","2019-10-03 12:16:01",1,"JD","2020-10-19 18:35:30"
"24",48,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2564","",1,1,1,0,"BLC","NMB","NMB","9358","2019-10-03 11:57:15",1,"JD","2021-03-19 15:13:29 EDT"
"25",50,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2567","",1,1,1,0,"BLC","NMB","NMB","12408","2019-10-03 12:33:45",1,"JD","2020-10-19 18:38:01"
"26",52,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2568","",1,1,1,0,"BLC","NMB","NMB","12408","2019-10-03 12:16:27",1,"JD","2020-10-19 18:38:05"
"27",54,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2569","",1,1,-2,0,"BLC","NMB","NMB","12408","2019-10-03 11:57:43",1,"JD","2020-10-19 18:38:07"
"28",56,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2572","",1,1,1,0,"BLC","NMB","NMB","12392","2019-10-03 12:34:14",1,"JD","2020-10-19 18:38:24"
"29",58,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2573","",1,1,1,0,"BLC","NMB","NMB","12392","2019-10-03 12:16:54",1,"JD","2020-10-19 18:38:26"
"30",60,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2574","",1,1,1,0,"BLC","NMB","NMB","12392","2019-10-03 11:58:16",1,"JD","2020-10-19 18:38:29"
"31",62,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2576","",1,1,1,1,"BLC","NMB","NMB","12415","2019-10-03 12:34:43",1,"JD","2020-10-19 18:38:40"
"32",64,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2577","",1,1,1,0,"BLC","NMB","NMB","12415","2019-10-03 12:17:21",1,"EKD","2021-03-22 11:18:13 EDT"
"33",66,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2578","",1,1,1,0,"BLC","NMB","NMB","12415","2019-10-03 11:58:45",1,"JD","2020-10-19 18:38:53"
"34",68,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2581","",1,1,1,0,"BLC","NMB","NMB","12418","2019-10-03 12:35:07",1,"JD","2020-10-19 18:42:15"
"35",70,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2582","",1,1,1,0,"BLC","NMB","NMB","12418","2019-10-03 12:17:48",1,"EKD","2021-03-22 11:19:04 EDT"
"36",72,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2583","",1,1,1,0,"BLC","NMB","NMB","12418","2019-10-03 11:59:11",1,"JD","2020-10-19 18:42:23"
"37",74,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2585","",1,1,1,0,"BLC","NMB","NMB","12419","2019-10-03 12:35:33",1,"JD","2020-10-19 18:42:32"
"38",76,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2586","",1,1,1,0,"BLC","NMB","NMB","12419","2019-10-03 12:18:15",1,"EKD","2021-03-22 11:19:53 EDT"
"39",78,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2587","",1,1,1,0,"BLC","NMB","NMB","12419","2019-10-03 11:59:37",1,"JD","2020-10-19 18:42:37"
"40",80,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2590","",1,1,1,0,"BLC","NMB","NMB","12323","2019-10-03 12:36:01",1,"JD","2020-10-19 18:42:46"
"41",82,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2591","",1,1,1,0,"BLC","NMB","NMB","12323","2019-10-03 12:18:41",1,"EKD","2021-03-22 11:20:12 EDT"
"42",84,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2592","",1,1,1,0,"BLC","NMB","NMB","12323","2019-10-03 12:00:13",1,"JD","2020-10-19 18:42:50"
"43",86,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2597","",1,1,-2,0,"BLC","NMB","NMB","12399","2019-10-03 12:36:26",1,"JD","2020-10-19 18:42:58"
"44",88,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2598","",1,1,1,0,"BLC","NMB","NMB","12399","2019-10-03 12:19:11",1,"EKD","2021-03-22 11:20:25 EDT"
"45",90,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2599","",1,1,1,0,"BLC","NMB","NMB","12399","2019-10-03 12:00:39",1,"JD","2020-10-19 18:43:05"
"46",92,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2601","",1,1,-2,1,"BLC","NMB","NMB","12218","2019-10-03 12:36:54",1,"JD","2020-10-19 18:43:14"
"47",94,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2602","",1,1,1,0,"BLC","NMB","NMB","12218","2019-10-03 12:19:40",1,"JD","2020-10-19 18:43:16"
"48",96,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2603","",1,1,1,0,"BLC","NMB","NMB","12218","2019-10-03 12:01:05",1,"JD","2020-10-19 18:43:19"
"49",98,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM3","DSCN2606","",1,1,1,0,"BLC","NMB","NMB","12218","2019-10-03 12:37:49",1,"JD","2020-10-19 18:43:29"
"50",100,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM2","DSCN2607","",1,1,1,0,"BLC","NMB","NMB","12218","2019-10-03 12:20:11",1,"JD","2020-10-19 18:43:34"
"51",102,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2608","",1,1,1,0,"BLC","NMB","NMB","12218","2019-10-03 12:04:54",1,"JD","2020-10-19 18:43:46"
"52",104,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2610","",1,1,1,0,"BLC","NMB","NMB","8854","2019-10-03 11:22:48",1,"JD","2020-10-19 18:44:19"
"53",106,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2611","",1,1,1,0,"BLC","NMB","NMB","8854","2019-10-01 14:22:44",1,"JD","2020-10-19 18:44:21"
"54",108,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2612","",1,1,1,0,"BLC","NMB","NMB","8854","2019-10-01 14:05:22",1,"JD","2020-06-29 23:01:29"
"55",110,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2614","",1,1,-2,0,"BLC","NMB","NMB","12399","2019-10-03 11:23:17",1,"JD","2020-10-19 18:44:27"
"56",112,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2615","",1,1,1,0,"BLC","NMB","NMB","12399","2019-10-01 14:23:16",1,"JD","2020-10-19 18:44:39"
"57",114,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2616","",1,1,1,0,"BLC","NMB","NMB","12399","2019-10-01 14:05:50",1,"JD","2020-06-29 23:01:39"
"58",116,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2618","",1,1,1,0,"BLC","NMB","NMB","12323","2019-10-03 11:23:49",1,"JD","2020-10-19 18:45:00"
"59",118,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2619","",1,1,1,0,"BLC","NMB","NMB","12323","2019-10-01 14:23:44",1,"JD","2020-10-19 18:45:08"
"60",120,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2620","",1,0,-1,-1,"BLC","","NMB","","2019-10-01 14:06:29",0,"JKB","2020-06-23 19:44:50"
"61",122,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2622","",1,1,-2,0,"BLC","NMB","NMB","12218","2019-10-03 11:24:20",1,"JD","2020-10-19 18:45:25"
"62",124,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2623","",1,1,1,0,"BLC","NMB","NMB","12218","2019-10-01 14:24:13",1,"JD","2020-10-19 18:45:29"
"63",126,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2624","",1,1,1,0,"BLC","NMB","NMB","12218","2019-10-01 14:06:59",1,"JD","2020-06-29 23:01:57"
"64",128,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM3","DSCN2626","",1,1,1,0,"BLC","NMB","NMB","12394","2019-10-03 11:24:48",1,"JD","2020-10-19 18:45:39"
"65",130,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM2","DSCN2627","",1,1,1,0,"BLC","NMB","NMB","12394","2019-10-01 14:25:02",1,"JD","2020-10-19 18:45:41"
"66",132,"Extant","L","Bovidae","Alcelaphini","Connochaetes","gnou","LM1","DSCN2628","",1,1,-2,0,"BLC","NMB","NMB","12394","2019-10-01 14:07:30",1,"JD","2020-06-29 23:02:23"
