"","tribe","species"
"1","Alcelaphini","buselaphus"
"2","Alcelaphini","buselaphus"
"3","Alcelaphini","buselaphus"
"4","Alcelaphini","buselaphus"
"5","Alcelaphini","buselaphus"
"6","Alcelaphini","buselaphus"
"7","Alcelaphini","buselaphus"
"9","Alcelaphini","buselaphus"
"10","Alcelaphini","buselaphus"
"11","Alcelaphini","buselaphus"
"13","Alcelaphini","buselaphus"
"14","Alcelaphini","buselaphus"
"15","Alcelaphini","buselaphus"
"16","Alcelaphini","buselaphus"
"17","Alcelaphini","buselaphus"
"18","Alcelaphini","buselaphus"
"19","Alcelaphini","buselaphus"
"21","Alcelaphini","buselaphus"
"22","Alcelaphini","buselaphus"
"23","Alcelaphini","buselaphus"
"24","Alcelaphini","buselaphus"
"25","Alcelaphini","buselaphus"
"26","Alcelaphini","buselaphus"
"27","Alcelaphini","buselaphus"
"29","Alcelaphini","buselaphus"
"30","Alcelaphini","buselaphus"
"31","Alcelaphini","buselaphus"
"32","Alcelaphini","gnou"
"33","Alcelaphini","gnou"
"34","Alcelaphini","gnou"
"37","Alcelaphini","gnou"
"38","Alcelaphini","gnou"
"40","Alcelaphini","gnou"
"41","Alcelaphini","gnou"
"42","Alcelaphini","gnou"
"44","Alcelaphini","gnou"
"45","Alcelaphini","gnou"
"46","Alcelaphini","gnou"
"47","Alcelaphini","gnou"
"48","Alcelaphini","gnou"
"49","Alcelaphini","gnou"
"50","Alcelaphini","gnou"
"51","Alcelaphini","gnou"
"52","Alcelaphini","gnou"
"53","Alcelaphini","gnou"
"54","Alcelaphini","gnou"
"57","Alcelaphini","gnou"
"58","Alcelaphini","gnou"
"60","Alcelaphini","gnou"
"61","Alcelaphini","gnou"
"62","Alcelaphini","gnou"
"63","Alcelaphini","gnou"
"64","Alcelaphini","gnou"
"65","Alcelaphini","gnou"
"68","Alcelaphini","taurinus"
"69","Alcelaphini","taurinus"
"70","Alcelaphini","taurinus"
"71","Alcelaphini","taurinus"
"73","Alcelaphini","taurinus"
"74","Alcelaphini","taurinus"
"75","Alcelaphini","taurinus"
"76","Alcelaphini","taurinus"
"77","Alcelaphini","taurinus"
"78","Alcelaphini","taurinus"
"79","Alcelaphini","taurinus"
"81","Alcelaphini","taurinus"
"82","Alcelaphini","taurinus"
"83","Alcelaphini","taurinus"
"84","Alcelaphini","taurinus"
"85","Alcelaphini","taurinus"
"87","Alcelaphini","taurinus"
"89","Alcelaphini","taurinus"
"90","Alcelaphini","taurinus"
"91","Alcelaphini","taurinus"
"93","Alcelaphini","taurinus"
"94","Alcelaphini","taurinus"
"95","Alcelaphini","dorcas"
"96","Alcelaphini","dorcas"
"98","Alcelaphini","dorcas"
"101","Alcelaphini","dorcas"
"102","Alcelaphini","dorcas"
"103","Alcelaphini","dorcas"
"104","Alcelaphini","dorcas"
"106","Alcelaphini","dorcas"
"107","Alcelaphini","dorcas"
"108","Alcelaphini","dorcas"
"109","Alcelaphini","dorcas"
"110","Alcelaphini","dorcas"
"111","Alcelaphini","dorcas"
"113","Alcelaphini","dorcas"
"115","Alcelaphini","dorcas"
"116","Alcelaphini","dorcas"
"117","Alcelaphini","dorcas"
"119","Alcelaphini","dorcas"
"120","Alcelaphini","dorcas"
"121","Alcelaphini","dorcas"
"122","Alcelaphini","dorcas"
"123","Alcelaphini","dorcas"
"124","Alcelaphini","dorcas"
"125","Antilopini","marsupialis"
"126","Antilopini","marsupialis"
"127","Antilopini","marsupialis"
"128","Antilopini","marsupialis"
"129","Antilopini","marsupialis"
"131","Antilopini","marsupialis"
"132","Antilopini","marsupialis"
"133","Antilopini","marsupialis"
"134","Antilopini","marsupialis"
"136","Antilopini","marsupialis"
"138","Antilopini","marsupialis"
"139","Antilopini","marsupialis"
"140","Antilopini","marsupialis"
"142","Antilopini","marsupialis"
"145","Antilopini","marsupialis"
"146","Antilopini","marsupialis"
"148","Antilopini","marsupialis"
"149","Antilopini","marsupialis"
"150","Antilopini","marsupialis"
"151","Antilopini","marsupialis"
"152","Antilopini","marsupialis"
"153","Antilopini","marsupialis"
"154","Antilopini","marsupialis"
"155","Antilopini","marsupialis"
"156","Antilopini","marsupialis"
"157","Antilopini","marsupialis"
"158","Antilopini","marsupialis"
"159","Antilopini","marsupialis"
"161","Bovini","caffer"
"162","Bovini","caffer"
"163","Bovini","caffer"
"164","Bovini","caffer"
"165","Bovini","caffer"
"166","Bovini","caffer"
"167","Bovini","caffer"
"168","Bovini","caffer"
"169","Bovini","caffer"
"170","Bovini","caffer"
"171","Bovini","caffer"
"172","Bovini","caffer"
"173","Bovini","caffer"
"175","Bovini","caffer"
"177","Bovini","caffer"
"179","Bovini","caffer"
"180","Bovini","caffer"
"183","Bovini","caffer"
"184","Bovini","caffer"
"185","Bovini","caffer"
"188","Hippotragini","equinus"
"189","Hippotragini","equinus"
"190","Hippotragini","equinus"
"191","Hippotragini","equinus"
"192","Hippotragini","equinus"
"193","Hippotragini","equinus"
"194","Hippotragini","equinus"
"195","Hippotragini","equinus"
"196","Hippotragini","equinus"
"197","Hippotragini","equinus"
"198","Hippotragini","equinus"
"199","Hippotragini","equinus"
"201","Hippotragini","equinus"
"202","Hippotragini","equinus"
"203","Hippotragini","equinus"
"204","Hippotragini","equinus"
"205","Hippotragini","equinus"
"206","Hippotragini","equinus"
"208","Hippotragini","equinus"
"209","Hippotragini","equinus"
"210","Hippotragini","equinus"
"211","Hippotragini","equinus"
"213","Hippotragini","equinus"
"214","Hippotragini","equinus"
"216","Hippotragini","niger"
"217","Hippotragini","niger"
"218","Hippotragini","niger"
"219","Hippotragini","niger"
"221","Hippotragini","niger"
"223","Hippotragini","niger"
"224","Hippotragini","niger"
"225","Hippotragini","niger"
"226","Hippotragini","niger"
"227","Hippotragini","niger"
"229","Hippotragini","niger"
"230","Hippotragini","niger"
"231","Hippotragini","niger"
"232","Hippotragini","niger"
"235","Hippotragini","niger"
"236","Hippotragini","niger"
"237","Hippotragini","niger"
"238","Hippotragini","niger"
"239","Hippotragini","niger"
"240","Hippotragini","niger"
"241","Hippotragini","niger"
"242","Hippotragini","niger"
"244","Hippotragini","niger"
"245","Hippotragini","gazella"
"247","Hippotragini","gazella"
"248","Hippotragini","gazella"
"251","Hippotragini","gazella"
"252","Hippotragini","gazella"
"253","Hippotragini","gazella"
"254","Hippotragini","gazella"
"256","Hippotragini","gazella"
"257","Hippotragini","gazella"
"258","Hippotragini","gazella"
"259","Hippotragini","gazella"
"260","Hippotragini","gazella"
"261","Hippotragini","gazella"
"262","Hippotragini","gazella"
"264","Hippotragini","gazella"
"265","Hippotragini","gazella"
"267","Hippotragini","gazella"
"268","Hippotragini","gazella"
"269","Neotragini","oreotragus"
"271","Neotragini","oreotragus"
"272","Neotragini","oreotragus"
"273","Neotragini","oreotragus"
"275","Neotragini","oreotragus"
"276","Neotragini","oreotragus"
"277","Neotragini","oreotragus"
"278","Neotragini","oreotragus"
"279","Neotragini","oreotragus"
"280","Neotragini","oreotragus"
"281","Neotragini","oreotragus"
"282","Neotragini","oreotragus"
"283","Neotragini","oreotragus"
"285","Neotragini","oreotragus"
"286","Neotragini","oreotragus"
"287","Neotragini","oreotragus"
"288","Neotragini","oreotragus"
"289","Neotragini","oreotragus"
"290","Neotragini","oreotragus"
"291","Neotragini","oreotragus"
"292","Neotragini","oreotragus"
"293","Neotragini","oreotragus"
"294","Neotragini","oreotragus"
"295","Neotragini","oreotragus"
"296","Neotragini","oreotragus"
"297","Neotragini","oreotragus"
"299","Neotragini","oreotragus"
"300","Neotragini","oreotragus"
"301","Neotragini","oreotragus"
"302","Neotragini","oreotragus"
"303","Neotragini","oreotragus"
"304","Neotragini","oreotragus"
"305","Neotragini","oreotragus"
"306","Neotragini","ourebi"
"307","Neotragini","ourebi"
"308","Neotragini","ourebi"
"310","Neotragini","ourebi"
"311","Neotragini","ourebi"
"312","Neotragini","ourebi"
"315","Neotragini","ourebi"
"316","Neotragini","ourebi"
"317","Neotragini","ourebi"
"318","Neotragini","ourebi"
"319","Neotragini","ourebi"
"320","Neotragini","ourebi"
"321","Neotragini","ourebi"
