"","image","family","tribe","genus","species","type","complete","corrupt","folds_species","folds_tribe","size"
"1","DSC_0934","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,2,3,877.656286268758
"2","DSC_0937","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,5,3,855.313010766277
"3","DSC_0944","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,1,3,814.664872999823
"4","DSC_0952","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,5,3,825.066542837912
"5","DSC_0956","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,1,3,2495.09583552668
"6","DSC_0962","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,3,1,2526.95300728739
"7","DSC_0967","Bovidae","Hippotragini","Oryx","gazella","LM2",-2,0,4,3,2046.28036876073
"8","DSC_0971","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,5,3,2303.29536955206
"9","DSC_0975","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,4,1,2708.03935111654
"10","DSC_0980","Bovidae","Hippotragini","Oryx","gazella","LM2",-2,0,5,1,2169.93246758032
"11","DSC_0984","Bovidae","Hippotragini","Oryx","gazella","LM2",0,0,4,3,2349.241896686
"12","DSC_0987","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,2,2,2834.3142540852
"13","DSC_0992","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,1,4,2598.47293313616
"14","DSC_0997","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,4,2,2978.44078527691
"15","DSC_1002","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,5,1,2849.92222601955
"16","DSC_1007","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,2,2,2615.08387479431
"17","DSC_1012","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,4,5,2829.20941928852
"18","DSC_1017","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,5,3,3024.99200108945
"19","DSC_1022","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,1,3,3318.59314833507
"20","DSC_1027","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,2,2,2850.01052293869
"21","DSC_1032","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,5,2,2099.26888963286
"22","DSC_1037","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,5,2,2281.21071229128
"23","DSC_1042","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,4,5,2572.08801381992
"24","DSC_1047","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,3,2,2115.34757281051
"25","DSC_1051","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,1,1,2283.21794630873
"26","DSC_1056","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,2,3,3065.86274277127
"27","DSC_1062","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,1,1,2072.93531623498
"28","DSC_1067","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,3,4,2772.20595431192
"29","DSC_1072","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,4,4,2517.17860913181
"30","DSCN2611","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,5,2023.94347107639
"31","DSCN2615","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,3,2,2058.9296635476
"32","DSCN2619","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,4,4,2144.72433863482
"33","DSCN2623","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,1,1939.98058272905
"34","DSCN2627","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,1,1928.93570715235
"35","DSCN2631","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,1,2,2109.04445095755
"36","DSCN2635","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,5,2151.17137529169
"37","DSCN2639","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,1,1,1975.89618771881
"38","DSCN2643","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,4,3,1937.10859108339
"39","DSCN2647","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,3,2085.55376603087
"40","DSCN2650","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,5,2039.62511481769
"41","DSCN2653","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,4,1,2029.13487138281
"42","DSCN2657","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,5,4,2002.33177221155
"43","DSCN2661","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,4,3,1881.83855438612
"44","DSCN2665","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,1,4,1985.56375889406
"45","DSCN2669","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,1,5,2014.8859529029
"46","DSCN2672","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,3,3,2002.03565445816
"47","DSCN2675","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,5,5,2009.30127695836
"48","DSCN2678","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,5,3,1912.29964028434
"49","DSCN2681","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,1,3,1816.52077706948
"50","DSCN2685","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,3,3,1948.52416445258
"51","DSCN2689","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,3,2,2056.28239252877
"52","DSCN2693","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,5,2,2032.73611706015
"53","DSCN2697","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,3,1,2170.08636746946
"54","DSCN2744","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,4,1,2026.49760748207
"55","DSCN2763","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",-1,0,NA,3,2207.20023759153
"56","DSCN2767","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,2,2182.66437499633
"57","DSCN2771","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,3,2133.84124499872
"58","DSCN2775","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",-2,0,NA,5,2292.27723479572
"59","DSCN2780","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,1,2059.74480165738
"60","DSCN2784","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,5,2268.66321383296
"61","DSCN2788","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,2,2128.31589631319
"62","DSCN2792","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,4,2263.11646940111
"63","DSCN2796","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,3,2043.15669691134
"64","DSCN2800","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,2,2055.05583574979
"65","DSCN2804","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,4,2181.46145325824
"66","DSCN2808","Bovidae","Alcelaphini","Connochaetes","taurinus","LM2",1,0,NA,2,2165.37869823432
"67","DSCN2870","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,5,4,1909.63381073432
"68","DSCN2874","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",0,0,1,4,2223.17478750858
"69","DSCN2878","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,4,3,1926.13840276409
"70","DSCN2884","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",0,0,2,4,1643.10294700601
"71","DSCN2888","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,4,2,2019.36278911791
"72","DSCN2891","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,5,2,1979.38938667864
"73","DSCN2895","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,2,5,1907.73923311237
"74","DSCN2898","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,4,1,1889.35125595573
"75","DSCN2903","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,1,3,2018.76032480544
"76","DSCN2907","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,1,4,2044.51435625446
"77","DSCN2912","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,2,3,2082.95833157225
"78","DSCN2922","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,5,1,1999.77605255058
"79","DSCN2926","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,1,2,2079.34346226459
"80","DSCN2930","Bovidae","Alcelaphini","Alcelaphus","buselaphus","LM2",1,0,3,2,1802.53199539245
"81","DSCN3018","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,1,5,1665.3546676206
"82","DSCN3022","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,4,2,1690.30238174695
"83","DSCN3026","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,4,1,1631.94924081916
"84","DSCN3030","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,2,5,1573.70314757972
"85","DSCN3034","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,1,1,1669.74091095777
"86","DSCN3038","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,3,1,1567.12576964715
"87","DSCN3042","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,1,2,1507.15913172204
"88","DSCN3046","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,1,4,1668.67327381876
"89","DSCN3050","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,4,2,1661.06073852301
"90","DSCN3054","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,3,4,1592.3833173651
"91","DSCN3059","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,1,1,1593.83815726065
"92","DSCN3063","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,3,4,1600.59794555156
"93","DSCN3076","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,2,4,1621.66127630472
"94","DSCN3079","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,2,5,1593.27154648809
"95","DSCN3082","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,5,4,2043.34230858628
"96","DSCN3086","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,1,5,4,1507.82958996869
"97","DSCN3098","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,5,4,1553.22045976488
"98","DSCN3103","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,2,1,1579.26885369119
"99","DSCN3107","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,2,3,1609.12575477298
"100","DSCN3111","Bovidae","Alcelaphini","Damaliscus","dorcas","LM2",1,0,3,1,1597.94817804643
"101","DSCN3127","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,3,2,2008.48801625784
"102","DSCN3190","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,1,2,1438.74166584757
"103","DSCN3195","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",-2,0,2,3,1528.6146737293
"104","DSCN3199","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,2,5,1502.07450375984
"105","DSCN3203","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,4,4,1415.05563764105
"106","DSCN3207","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,5,2,1296.89786208284
"107","DSCN3209","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,1,1,1474.8735344772
"108","DSCN3213","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,5,4,1404.34544703996
"109","DSCN3217","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,5,3,1420.25256685624
"110","DSCN3221","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,3,3,1333.56577429182
"111","DSCN3226","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,1,3,1565.02456731298
"112","DSCN3230","Bovidae","Antilopini","Antidorcas","marsupialis","LM2",1,1,4,1,1463.95874467437
"113","DSCN3292","Bovidae","Tragelaphini","Taurotragus","oryx","LM2",-1,0,3,4,2754.88859811925
"114","DSCN3299","Bovidae","Tragelaphini","Taurotragus","oryx","LM2",-1,0,4,2,3073.99420175744
"115","DSCN3306","Bovidae","Tragelaphini","Taurotragus","oryx","LM2",-1,0,4,4,2977.92743844836
"116","DSCN3311","Bovidae","Tragelaphini","Taurotragus","oryx","LM2",-1,0,2,5,2790.50143267097
"117","DSCN3315","Bovidae","Tragelaphini","Taurotragus","oryx","LM2",-1,0,1,3,2958.84680204059
"118","DSCN3319","Bovidae","Tragelaphini","Taurotragus","oryx","LM2",-1,0,1,2,3066.82045932489
"119","DSCN3333","Bovidae","Tragelaphini","Tragelaphus","scriptus","LM2",-1,0,1,2,1240.59471898353
