"family","tribe","genus","species","type","image","complete","corrupt","folds_species","folds_tribe"
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2812",1,0,4,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2816",1,0,2,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2820",1,0,4,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2824",1,0,5,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2828",1,0,2,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2832",1,0,4,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2836",0,0,1,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2848",1,0,1,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2852",1,0,2,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2860",1,0,5,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2864",1,0,1,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2868",1,0,3,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN2935",1,0,3,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4140",1,0,5,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4144",1,0,1,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4743",1,0,4,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4747",1,0,3,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4752",1,0,4,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4755",1,0,4,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4759",1,0,3,1
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4763",1,0,5,2
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4767",1,0,2,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4771",1,0,3,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4776",1,0,3,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4780",1,0,2,4
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4784",1,0,2,3
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4788",1,0,1,5
"Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM1","DSCN4792",1,0,1,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2520",1,0,4,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2529",1,0,2,3
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2538",-2,0,2,4
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2542",-2,0,4,5
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2549",-2,0,5,2
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2553",1,0,4,4
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2561",1,0,1,1
"Bovidae","Alcelaphini","Connochaetes","gnou","UM1","DSCN2564",1,0,1,1
