"","tribe","species"
"2","Alcelaphini","buselaphus"
"5","Alcelaphini","buselaphus"
"6","Alcelaphini","buselaphus"
"7","Alcelaphini","buselaphus"
"8","Alcelaphini","buselaphus"
"9","Alcelaphini","buselaphus"
"11","Alcelaphini","buselaphus"
"12","Alcelaphini","buselaphus"
"13","Alcelaphini","buselaphus"
"14","Alcelaphini","buselaphus"
"15","Alcelaphini","buselaphus"
"17","Alcelaphini","buselaphus"
"18","Alcelaphini","buselaphus"
"19","Alcelaphini","buselaphus"
"20","Alcelaphini","buselaphus"
"21","Alcelaphini","buselaphus"
"22","Alcelaphini","buselaphus"
"24","Alcelaphini","buselaphus"
"26","Alcelaphini","buselaphus"
"27","Alcelaphini","buselaphus"
"28","Alcelaphini","buselaphus"
"29","Alcelaphini","buselaphus"
"30","Alcelaphini","buselaphus"
"32","Alcelaphini","gnou"
"33","Alcelaphini","gnou"
"35","Alcelaphini","gnou"
"36","Alcelaphini","gnou"
"37","Alcelaphini","gnou"
"38","Alcelaphini","gnou"
"39","Alcelaphini","gnou"
"40","Alcelaphini","gnou"
"41","Alcelaphini","gnou"
"42","Alcelaphini","gnou"
"43","Alcelaphini","gnou"
"47","Alcelaphini","gnou"
"48","Alcelaphini","gnou"
"49","Alcelaphini","gnou"
"50","Alcelaphini","gnou"
"51","Alcelaphini","gnou"
"52","Alcelaphini","gnou"
"53","Alcelaphini","gnou"
"54","Alcelaphini","gnou"
"55","Alcelaphini","gnou"
"56","Alcelaphini","gnou"
"57","Alcelaphini","gnou"
"58","Alcelaphini","gnou"
"59","Alcelaphini","gnou"
"60","Alcelaphini","gnou"
"62","Alcelaphini","taurinus"
"65","Alcelaphini","taurinus"
"66","Alcelaphini","taurinus"
"67","Alcelaphini","taurinus"
"68","Alcelaphini","taurinus"
"69","Alcelaphini","taurinus"
"70","Alcelaphini","taurinus"
"71","Alcelaphini","taurinus"
"72","Alcelaphini","taurinus"
"73","Alcelaphini","taurinus"
"74","Alcelaphini","taurinus"
"76","Alcelaphini","taurinus"
"77","Alcelaphini","taurinus"
"79","Alcelaphini","taurinus"
"80","Alcelaphini","taurinus"
"81","Alcelaphini","taurinus"
"82","Alcelaphini","taurinus"
"83","Alcelaphini","taurinus"
"84","Alcelaphini","taurinus"
"85","Alcelaphini","taurinus"
"86","Alcelaphini","taurinus"
"87","Alcelaphini","taurinus"
"88","Alcelaphini","taurinus"
"89","Alcelaphini","taurinus"
"90","Alcelaphini","taurinus"
"91","Alcelaphini","dorcas"
"92","Alcelaphini","dorcas"
"93","Alcelaphini","dorcas"
"94","Alcelaphini","dorcas"
"95","Alcelaphini","dorcas"
"96","Alcelaphini","dorcas"
"97","Alcelaphini","dorcas"
"98","Alcelaphini","dorcas"
"99","Alcelaphini","dorcas"
"100","Alcelaphini","dorcas"
"101","Alcelaphini","dorcas"
"103","Alcelaphini","dorcas"
"105","Alcelaphini","dorcas"
"108","Alcelaphini","dorcas"
"112","Alcelaphini","dorcas"
"113","Alcelaphini","dorcas"
"114","Alcelaphini","dorcas"
"115","Alcelaphini","dorcas"
"116","Alcelaphini","dorcas"
"117","Alcelaphini","dorcas"
"118","Alcelaphini","dorcas"
"119","Alcelaphini","dorcas"
"120","Alcelaphini","dorcas"
"121","Antilopini","marsupialis"
"122","Antilopini","marsupialis"
"123","Antilopini","marsupialis"
"124","Antilopini","marsupialis"
"125","Antilopini","marsupialis"
"126","Antilopini","marsupialis"
"127","Antilopini","marsupialis"
"129","Antilopini","marsupialis"
"130","Antilopini","marsupialis"
"131","Antilopini","marsupialis"
"133","Antilopini","marsupialis"
"134","Antilopini","marsupialis"
"135","Antilopini","marsupialis"
"136","Antilopini","marsupialis"
"137","Antilopini","marsupialis"
"139","Antilopini","marsupialis"
"140","Antilopini","marsupialis"
"141","Antilopini","marsupialis"
"143","Antilopini","marsupialis"
"144","Antilopini","marsupialis"
"146","Antilopini","marsupialis"
"147","Antilopini","marsupialis"
"149","Antilopini","marsupialis"
"150","Antilopini","marsupialis"
"153","Bovini","caffer"
"154","Bovini","caffer"
"155","Bovini","caffer"
"156","Bovini","caffer"
"157","Bovini","caffer"
"158","Bovini","caffer"
"159","Bovini","caffer"
"160","Bovini","caffer"
"161","Bovini","caffer"
