"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"9",-118.01,58.706,79.786,-5.1387,-50.665,29.748,-13.656,-71.565,-23.018,12.411,8.1926,-17.581,-49.284,-3.525,6.6728,18.29,-4.7119,-6.1218,28.892,16.429,31.899,16.369,8.9306,15.999,-3.4818,-24.43,34.993,-2.9668,-6.2488,8.7582
"11",-100.35,66.463,65.612,-13.161,-14.544,-5.1927,25.94,-18.241,14.275,29.984,7.3814,13.411,-15.078,28.361,-21.637,-13.709,-4.1633,10.943,-1.5703,-8.6374,19.782,-15.659,-10.245,-0.26502,-27.528,-21.541,-0.55258,-8.7326,-8.5272,10.743
"13",-70.049,49.297,49.227,-25.81,-5.3301,-13.284,7.1692,-10.813,-1.5221,3.3958,4.619,-0.50668,-11.347,11.681,-16.517,4.5162,2.3266,1.8659,1.7534,-11.09,12.292,-13.365,3.6631,4.3894,-13.191,-1.5264,-8.5094,-0.13925,-3.1803,-1.4015
"22",-90.374,59.911,84.123,-14.894,-7.1199,-18.723,28.31,2.1505,-3.007,13.364,5.5971,24.278,-16.151,18.97,-45.735,-20.777,3.9443,-5.2029,-5.0713,-19.93,49.921,-12.925,-5.4667,10.308,-24.412,-2.8439,-0.32029,3.9865,-3.2785,4.8511
"24",-144.22,7.4496,61.284,54.912,-49.853,-14.993,0.55724,-42.705,9.2918,31.045,40.399,-18.251,-69.225,-32.775,-51.508,32.269,4.7379,-38.059,18.157,54.937,31.359,-19.515,-6.1934,31.608,-3.8987,-18.891,8.3724,-4.6215,20.853,-17.231
"26",-152.54,-123.24,17.286,-33.867,27.356,4.5076,-6.9183,-24.666,18.931,-8.5351,-32.961,-5.9942,44.137,11.816,-0.82283,30.966,32.796,-21.343,8.035,-9.1936,-12.045,-13.054,11.795,2.6039,15.539,-9.7886,-3.8408,-9.9008,10.063,0.38593
"30",130.9,-95.829,53.522,-3.9075,-45.681,-19.938,-7.1403,-37.026,20.607,19.804,22.806,14.923,3.3412,8.0827,-13.59,-25.289,-13.202,-11.035,23.905,7.3494,20.409,-1.2778,-26.556,-22.655,9.6371,-6.8111,1.5614,-3.5502,-1.198,-0.28029
"40",-83.053,38.903,77.548,-41.155,-25.842,-50.643,-50.91,-57.292,-6.4172,15.728,-26.112,-21.773,-45.379,-9.3324,15.836,19.989,-10.139,-16.792,-20.586,8.0054,25.678,-0.16878,-4.9657,-6.5129,18.203,7.4812,-24.69,-3.9615,-6.6229,2.9019
"41",-53.72,59.306,74.6,-27.531,-31.083,-5.2845,5.6528,-37.905,11.322,16.974,7.2932,3.2024,-23.25,1.2612,5.5288,26.632,-3.9132,-15.395,16.312,46.421,26.244,-9.4335,-27.401,-13.487,-3.8093,18.891,-16.881,-12.656,9.0244,-28.044
"48",26.187,8.1738,25.646,-40.376,3.4531,-27.11,-5.5494,23.748,41.083,-4.6388,19.326,-34.912,-56.827,-24.924,-40.399,11.894,23.831,-8.62,-19.037,11.764,52.916,-2.7819,-24.643,-11.713,-6.5615,-9.2698,-13.381,2.5044,-4.7437,15.654
"50",-38.015,-5.0814,18.111,-55.929,-18.539,29.082,-52.219,74.597,-22.833,-22.587,-3.049,-14.716,-131.05,13.599,24.679,6.0868,-9.2805,18.873,2.8392,-22.124,-2.3379,-28.612,-32.224,22.381,23.666,-11.966,20.281,-15.266,-11.52,2.9965
"51",111.43,-97.231,32.016,-1.0825,-34.982,6.3403,-2.0992,-16.449,12.849,27.707,1.8376,17.5,-26.129,30.625,-18.427,1.2317,30.492,-19.07,-17.29,28.713,-10.625,-27.659,-12.531,-15.481,-21.664,1.5696,8.8952,9.9863,1.3887,-9.2314
"52",-112.72,58.519,68.373,-3.0528,-14.989,-10.253,6.2432,-51.446,6.257,23.968,-1.8108,-31.178,-20.555,-2.4227,-16.683,29.575,-11.507,-10.156,12.63,19.553,13.006,-8.0668,-17.305,9.4767,-8.9179,-0.43686,-15.853,-14.511,8.2157,-4.0058
